work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_usd_to_eur,salary_usd_to_gbp,salary_range,remote_ratio_percentage,company_size_category
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,,110500.0,97500.0,120K-200K,0.0,
2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,,89573.0,79035.0,80K-120K,0.0,
2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,,54825.0,48375.0,50K-80K,0.0,
2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,100,NG,,85000.0,75000.0,80K-120K,1.0,
2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,100,NG,,25500.0,22500.0,0-30K,1.0,
2022,MI,FT,Machine Learning Engineer,1650000,INR,20984,IN,50,IN,,17836.399999999998,15738.0,,0.5,
2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,,173927.0,153465.0,200K+,0.0,
2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,,94078.0,83010.0,80K-120K,0.0,
2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,,230097.55,203027.25,200K+,0.0,
2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,,188261.4,166113.0,200K+,0.0,
2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,,180837.5,159562.5,200K+,1.0,
2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,,157250.0,138750.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,,222700.0,196500.0,200K+,1.0,
2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,,208250.0,183750.0,200K+,1.0,
2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,,234005.0,206475.0,200K+,1.0,
2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,,155975.0,137625.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,,185725.0,163875.0,200K+,1.0,
2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,,169233.3,149323.5,120K-200K,1.0,
2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,,172805.0,152475.0,200K+,1.0,
2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,,105060.0,92700.0,120K-200K,1.0,
2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,,160743.5,141832.5,120K-200K,0.0,
2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,,118150.0,104250.0,120K-200K,0.0,
2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,,219937.5,194062.5,200K+,0.0,
2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,,157250.0,138750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,,196775.0,173625.0,200K+,1.0,
2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,,141100.0,124500.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,,146625.0,129375.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,,93925.0,82875.0,80K-120K,1.0,
2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,,202300.0,178500.0,200K+,0.0,
2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,,149600.0,132000.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,,201450.0,177750.0,200K+,1.0,
2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,,171232.5,151087.5,200K+,1.0,
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,,262990.0,232050.0,200K+,0.0,
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,,135235.0,119325.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,,97750.0,86250.0,80K-120K,0.0,
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,,69275.0,61125.0,80K-120K,0.0,
2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,,201450.0,177750.0,200K+,1.0,
2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,,171232.5,151087.5,200K+,1.0,
2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,,238000.0,210000.0,200K+,0.0,
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,,178500.0,157500.0,200K+,0.0,
2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,,238085.0,210075.0,200K+,1.0,
2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,,142885.0,126075.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,,164475.0,145125.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,,118150.0,104250.0,120K-200K,1.0,
2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,,55302.7,48796.5,,0.0,
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,,127500.0,112500.0,120K-200K,1.0,
2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,,59288.35,52313.25,50K-80K,1.0,
2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,,255000.0,225000.0,200K+,0.5,
2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,,82091.3,72433.5,80K-120K,1.0,
2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,,158015.0,139425.0,120K-200K,0.0,
2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,,109905.0,96975.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,,191250.0,168750.0,200K+,1.0,
2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,,148750.0,131250.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,,157250.0,138750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,,119000.0,105000.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,,41045.65,36216.75,30K-50K,0.0,
2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,,32836.35,28973.25,30K-50K,0.0,
2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,,89250.0,78750.0,80K-120K,0.0,
2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,,59500.0,52500.0,50K-80K,0.0,
2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,,138716.6,122397.0,120K-200K,0.0,
2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,,124002.25,109413.75,120K-200K,0.0,
2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,,184450.0,162750.0,200K+,1.0,
2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,,157250.0,138750.0,120K-200K,1.0,
2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,,172380.0,152100.0,200K+,0.0,
2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,,88655.0,78225.0,80K-120K,0.0,
2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,,55250.0,48750.0,50K-80K,0.0,
2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,,140250.0,123750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,,112455.0,99225.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,,152294.5,134377.5,120K-200K,0.0,
2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,,80155.0,70725.0,80K-120K,0.0,
2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,,129625.0,114375.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,,98982.5,87337.5,80K-120K,0.0,
2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,,210205.0,185475.0,200K+,0.0,
2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,,113730.0,100350.0,120K-200K,0.0,
2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,,172550.0,152250.0,200K+,0.0,
2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,,113050.0,99750.0,120K-200K,0.0,
2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,,187000.0,165000.0,200K+,0.5,
2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,,48055.6,42402.0,50K-80K,1.0,
2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,,127500.0,112500.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,,102000.0,90000.0,80K-120K,0.0,
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,,246330.0,217350.0,200K+,0.0,
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,,181900.0,160500.0,200K+,0.0,
2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,,152847.0,134865.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,,122281.0,107895.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,,240720.0,212400.0,200K+,1.0,
2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,,160480.0,141600.0,120K-200K,1.0,
2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,,246330.0,217350.0,200K+,0.0,
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,,182070.0,160650.0,200K+,0.0,
2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,,158015.0,139425.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,,109905.0,96975.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,,214200.0,189000.0,200K+,0.0,
2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,,109650.0,96750.0,120K-200K,0.0,
2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,,131750.0,116250.0,120K-200K,0.0,
2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,,119000.0,105000.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,,137530.0,121350.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,,120360.0,106200.0,120K-200K,1.0,
2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,,290955.0,256725.0,200K+,0.0,
2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,,149685.0,132075.0,120K-200K,0.0,
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,,85000.0,75000.0,80K-120K,1.0,
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,,59500.0,52500.0,50K-80K,1.0,
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,,72250.0,63750.0,80K-120K,0.0,
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,,55250.0,48750.0,50K-80K,0.0,
2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,,117966.4,104088.0,120K-200K,1.0,
2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,,70779.5,62452.5,80K-120K,1.0,
2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,,63750.0,56250.0,50K-80K,0.0,
2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,,59500.0,52500.0,50K-80K,0.0,
2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,,173825.0,153375.0,200K+,0.0,
2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,,118065.0,104175.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,,270555.0,238725.0,200K+,1.0,
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,,180370.0,159150.0,200K+,1.0,
2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,,80750.0,71250.0,80K-120K,1.0,
2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,,63750.0,56250.0,50K-80K,1.0,
2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,,165750.0,146250.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,,136000.0,120000.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,,195500.0,172500.0,200K+,0.0,
2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,,121720.0,107400.0,120K-200K,0.0,
2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,,85000.0,75000.0,80K-120K,1.0,
2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,,59500.0,52500.0,50K-80K,1.0,
2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,,89250.0,78750.0,80K-120K,0.5,
2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,,17569.5,15502.5,,1.0,
2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,,39251.299999999996,34633.5,30K-50K,0.0,
2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,,36153.049999999996,31899.75,30K-50K,0.0,
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,,97750.0,86250.0,80K-120K,0.0,
2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,,143140.0,126300.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,,89420.0,78900.0,80K-120K,0.0,
2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,,262990.0,232050.0,200K+,0.0,
2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,,135235.0,119325.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,,161500.0,142500.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,,127500.0,112500.0,120K-200K,0.0,
2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,,138125.0,121875.0,120K-200K,0.0,
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,,110500.0,97500.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,,127500.0,112500.0,120K-200K,1.0,
2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,,102000.0,90000.0,80K-120K,1.0,
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,,102000.0,90000.0,80K-120K,0.0,
2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,,188870.0,166650.0,200K+,0.0,
2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,,115600.0,102000.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,,46482.25,41013.75,30K-50K,1.0,
2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,,36153.049999999996,31899.75,30K-50K,1.0,
2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,,204850.0,180750.0,200K+,0.0,
2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,,131750.0,116250.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,,187000.0,165000.0,200K+,1.0,
2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,,161500.0,142500.0,120K-200K,1.0,
2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,,56811.45,50127.75,50K-80K,0.0,
2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,,46482.25,41013.75,30K-50K,0.0,
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,,12750.0,11250.0,0-30K,0.0,
2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,,72306.09999999999,63799.5,50K-80K,1.0,
2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,,49064.549999999996,43292.25,30K-50K,1.0,
2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,,72250.0,63750.0,80K-120K,1.0,
2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,,63750.0,56250.0,50K-80K,1.0,
2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,,136000.0,120000.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,,119000.0,105000.0,120K-200K,0.0,
2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,,255000.0,225000.0,200K+,0.0,
2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,,212500.0,187500.0,200K+,0.0,
2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,,193800.0,171000.0,200K+,0.0,
2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,,158100.0,139500.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,,161500.0,142500.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,,144500.0,127500.0,120K-200K,0.0,
2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,,195500.0,172500.0,200K+,0.0,
2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,,170000.0,150000.0,120K-200K,0.0,
2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,,153000.0,135000.0,120K-200K,1.0,
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,,97750.0,86250.0,80K-120K,1.0,
2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,,170000.0,150000.0,120K-200K,1.0,
2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,,97750.0,86250.0,80K-120K,1.0,
2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,,45605.9,40240.5,30K-50K,0.5,
2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,,187000.0,165000.0,200K+,0.0,
2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,,174250.0,153750.0,200K+,0.0,
2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,,153000.0,135000.0,120K-200K,0.0,
2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,,110500.0,97500.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,,170000.0,150000.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,,127500.0,112500.0,120K-200K,1.0,
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,,182750.0,161250.0,200K+,0.0,
2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,,144500.0,127500.0,120K-200K,0.0,
2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,,210375.0,185625.0,200K+,0.0,
2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,,146370.0,129150.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,,190400.0,168000.0,200K+,0.0,
2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,,149600.0,132000.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,,102000.0,90000.0,80K-120K,1.0,
2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,,63750.0,56250.0,50K-80K,1.0,
2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,,14468.699999999999,12766.5,,1.0,
2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,,58070.299999999996,51238.5,80K-120K,1.0,
2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,,63767.0,56265.0,80K-120K,0.0,
2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,,119000.0,105000.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,,102000.0,90000.0,80K-120K,0.0,
2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,,108800.0,96000.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,,69275.0,61125.0,80K-120K,0.0,
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,,97750.0,86250.0,80K-120K,0.0,
2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,,157250.0,138750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,,119000.0,105000.0,120K-200K,0.0,
2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,,280075.0,247125.0,200K+,0.0,
2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,,229160.0,202200.0,200K+,0.0,
2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,,85000.0,75000.0,80K-120K,0.0,
2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,,68000.0,60000.0,50K-80K,0.0,
2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,,212500.0,187500.0,200K+,0.0,
2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,,138125.0,121875.0,120K-200K,0.0,
2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,,170000.0,150000.0,120K-200K,1.0,
2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,,85000.0,75000.0,80K-120K,0.0,
2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,,97750.0,86250.0,80K-120K,0.0,
2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,,172975.0,152625.0,200K+,0.0,
2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,,129200.0,114000.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,,203150.0,179250.0,200K+,0.0,
2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,,104465.0,92175.0,120K-200K,0.0,
2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,,201450.0,177750.0,200K+,0.0,
2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,,123250.0,108750.0,120K-200K,0.0,
2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,,163000.25,143823.75,120K-200K,0.0,
2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,,114100.59999999999,100677.0,120K-200K,0.0,
2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,,161500.0,142500.0,120K-200K,1.0,
2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,,95200.0,84000.0,80K-120K,1.0,
2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,,75017.59999999999,66192.0,80K-120K,1.0,
2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,,72250.0,63750.0,80K-120K,0.0,
2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,,55250.0,48750.0,50K-80K,0.0,
2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,,114750.0,101250.0,120K-200K,0.0,
2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,,89675.0,79125.0,80K-120K,0.0,
2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,,249050.0,219750.0,200K+,0.0,
2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,,157250.0,138750.0,120K-200K,0.0,
