title,company_name,location,description,salaries
Data Scientist Jobs,Open Systems Technologies Corporation,"  Alexandria, VA   ","Open Systems Technologies Corporation is a leader in the government contracting marketplace, providing Enterprise Security and Cloud Computing solutions to support large organizations. Our capabilities include supplying federal government entities and private businesses with software development, scientific and engineering technical assistance, systems integration and enterprise security. Since... its founding in 1996, OST has been committed to delivering high-quality, best-in class results that bring added value to our clients, while investing in our employees' futures by providing exciting projects to work on, and robust benefits to include technical training and certifications, relocation assistance and a 401K match with immediate vesting.

We are looking for a Data Scientist to join our team of experts to assist with building state of the art data platforms for the Department of Defense's premier data analytics platform.

Responsibilities:

As a data scientist, you're excited at the prospect of unlocking the secrets held by a data set, and you're fascinated by the possibilities presented by IoT, machine learning, and artificial intelligence. In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. You can help turn these complex data sets into useful information to solve global challenges.

On our team, you'll use your analytical skills and data science knowledge to create real-world impact. You'll work closely with your clients to understand their questions and needs, and then dig into their data-rich environments to find the pieces of their information puzzle. You'll develop algorithms and systems and use the right combination of tools and frameworks to turn sets of disparate data points into objective answers to help clients make informed decisions. Ultimately, you'll provide a deep understanding of the data, what it all means, and how it can be used.

Basic Qualifications:
• Clearance: TS/SCI
• 3+ years of experience with data exploration, data cleaning, data analysis, data visualization, or data mining
• 3+ years of experience with statistical and general-purpose programming languages for data analysis
• 3+ years of experience in database engineering and data modeling
• Experience with integrating disparate data sources, building ETL and ELT pipelines, managing schemas and data validation checks for data quality, and adhering to DevSecOps principles
• 3+ years of experience in optical character recognition, image and text processing using Python, ML lifecycle, and NLP
• Experience with analyzing structured and unstructured data sources
• Experience with developing predictive data models, quantitative analyses, and visualization of targeted data sources
• Knowledge of text mining or machine learning techniques, and Artificial Intelligence or Natural Language Processing
• Bachelor's degree

Preferred Qualifications:
• 2+ years of experience in the development of algorithms leveraging R, Python, or SQL and NoSQL
• 2+ years of experience with Distributed data and computing tools, including MapReduce, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, or MySQL
• 2+ years of experience with Machine Learning, AI, or NLP
• Experience with visualization packages, including Plotly, Seaborn, or ggplot2
• Master's degree preferred

BENEFITS

OST has been operating since 1996 and has various contracts with Government agencies. We offer a comprehensive benefit package that includes 3 weeks paid time off, 2 weeks Holiday pay, medical/dental coverage, STD, LTD, Life Insurance, AD&D, 401k with up to 4% match, and end of year profit sharing paid out in 401k",
Data Scientist,"Audible, Inc.","  Newark, NJ   ","Good storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.

ABOUT THIS ROLE...
In this role, you’ll employ scalable cutting-edge machine learning (ML), deep learning (DL), and Natural Language Processing (NLP) techniques to better target customers and prospects, understand and personalize the content and context needed to optimize their book-listening experience, and translate business goals into agile, insightful analytics to inform critical business decisions. You’ll seek to create value for both stakeholders and customers and inform findings in a clear, actionable way to managers and senior leaders. You’ll operate in an agile environment in which we own and collaborate on the life cycle of research, design, and model development of relevant projects.

As a Data Scientist, you will:
- Develop and validate models to optimize the Who, When, Where and How of all our interactions with customers
- Develop Amazon-scale data engineering pipelines
- Imagine and invent before the business asks, and create groundbreaking applications using cutting-edge approaches
- Develop compelling data visualizations
- Work closely with other data scientists, ML experts, engineers as well as business across globe, and on cross-disciplinary efforts with other scientists within Amazon
- Contribute to the growth of the Audible Data Science team by sharing your ideas, intellectual property and learning from others

About Audible
At Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading creator and provider of premium audio storytelling, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word. Audible offers a Hub+Home hybrid workplace model that gives employees flexibility between gathering in an Audible workspace (work from hub) and remote work (work from home). For more information, please visit adbl.co/hybrid.

We are open to hiring candidates to work out of one of the following locations:

Newark, NJ, USA",
Deep Learning Data Science Manager,Deloitte,"  Chicago, IL   ","Deep Learning Data Science Manager

SFL Scientific, a Deloitte Business practice brings together several key capabilities to architect integrated programs that transform our clients' businesses, including Strategic Growth Transformation, Transformation Strategy & Design, Technology Strategy & Business Transformation, and AI & Data Strategy...

Professionals will serve as trusted advisors to our clients, working with them to make clear data-driven choices about where to play and how to win - ultimately driving growth and enterprise value.

We are hiring a Data Science Manager to support the technical design, development, and deployment of novel AI solutions across healthcare, life sciences, manufacturing, energy, and other sectors.

Work you'll do

As a Data Science Manager at SFL Scientific, a Deloitte Business, you'll manage a team of developers across project execution and R&D efforts. You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical and non-technical audiences, and leading solution development to solve our clients' use cases.

Successful candidates will be an expert in using state-of the-art technologies such as computer vision, natural language processing (NLP), time-series analysis, graph neural networks, and other AI/ML subdomains to solve complex business problems across applications as diverse as healthcare, medical imaging, autonomous systems, and embedded & edge-AI. Join us to expand your technical career through the lens of professional services and consulting and help create novel solutions to advance your data science & AI career.
• Serve as the technical lead on projects to drive the technical strategy, roadmap, and prototyping of AI/ML solutions in order to meet each clients' unique requirements
• Engage and guide clients with high autonomy in AI strategy and adoption, including understanding organizational needs, performing exploratory data analysis (EDA), building and validating models, and deploying models into production
• Lead for an interdisciplinary team of data scientists, engineers, and solution architects to achieve technical delivery objectives and real-world performance
• Lead in the research and adoption of industry best practices for validation of models; support best delivery practices, including validation, code review, unit, and integration tests
• Present to key stakeholders, including dataset findings and solution infrastructure, hardware, software, cloud, and deployment, etc.
• Mentor, motivate and coach junior data scientists on technical best practices and inspire professional development

The Team

SFL Scientific, a Deloitte Business, is a data science professional services practice focused on strategy, technology, and solving business challenges with Artificial Intelligence (AI). The team has a proven track record serving large, market-leading organizations in the private and public sectors, successfully delivering high-quality, novel and complex projects, and offering deep domain and scientific capabilities. Made up of experienced AI strategists, data scientists, and AI engineers, they serve as trusted advisors to executives, helping them understand and evaluate new and essential areas for AI investment and identify unique opportunities to transform their businesses.

Qualifications:
• Bachelor's degree in a STEM field (Data Science, Computer Science, Engineering, Mathematics, Physics, etc.) or equivalent experience
• 6+ years of experience working in data science, data engineering, software engineering, or MLOps
• 6+ years of experience in AI/ML algorithm development workflow and data analysis in the major data modalities from NLP, time-series analysis, computer vision, to graph models
• 6+ years of experience in core programming languages and data science packages (Python, Keras, Tensorflow, PyTorch, Pandas, Scikit-learn, Jupyter, etc.)
• 6+ years of experience with traditional ML and deep learning techniques (CNNs, RNNs, LSTMs, GANs), model tuning, and validation of developed algorithms
• 4+ years of experience managing teams and delivering complex and critical projects
• Live within commuting distance to one of Deloitte's consulting offices
• Ability to travel 10%, on average, based on the work you do and the clients and industries/sectors you serve
• Limited immigration sponsorship may be available

Preferred Qualifications:
• Master's or Ph.D degree in a relevant STEM field (Data Science, Computer Science, Engineering, Mathematics, Physics, etc.)
• Experience with cloud deployment (AWS, Azure, GCP), such as building and scaling in AWS SageMaker or Azure ML Studio
• Excellent verbal and written communication skills and experience in a client-facing or team management role is preferred
• Highly proficient written and verbal skills to support briefings, proposals, technical sprint plans, solution reports, progress updates, and executive presentations

The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Deloitte, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $151,800 to $253,000.

You may also be eligible to participate in a discretionary annual incentive program, subject to the rules governing the program, whereby an award, if any, depends on various factors, including, without limitation, individual and organizational performance.

#MonitorDeloitte

#DeloitteJobs

#StrategyConsulting

#DeloitteStrategy

#Strategy24

#SFL24

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law",
Data Science Analyst,Michaels Stores,"  Irving, TX   ","Support Center - Irving

The Data Science Analyst will review, measure, and provide insights on corporate-level tests. This Team Member will proactively mine data and produce analytical output. This individual will work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of marketing initiatives...

Major Activities
• Work with large scale and complex traditional and non-traditional data sources to identify opportunities that enhance performance and efficiency of business initiatives
• Demonstrate strong expertise in leveraging quantitative tools and approaches to transforming raw data into insights, such as data mining, dimension reduction, segmentation, response modeling, and designing of experiments
• Analyze marketing, customer, and sales data to measure and monitor performance by channel
• Create and automate reporting and the dashboards that support business partners across the company
• QA/QC data and report output to ensure accuracy
• Appropriately account for the timeliness and quality of all assignments
• Manage multiple projects concurrently
• Identify and generate ad hoc analysis to drive short term strategies

Minimum Knowledge/Skills/Abilities

Other duties as assigned

Minimum Education
• Bachelor’s degree in relevant quantitative discipline (statistics, economics, mathematics, computer science, electrical engineering, or a related scientific discipline)

Minimum Special Certifications Or Technical Skills
• Fluent in data fundamentals: SQL, data manipulation using a procedural language (R, Python), statistics, experimentation, and modeling
• Advanced Excel with higher level math and logic skills
• Well versed in data mining (databases, querying languages, SQL)

Minimum Type Of Experience The Job Requires
• Demonstrated skill communicating complex analysis to non-experts

Other
• Strong analytical thinker in an unstructured/ whitespace environment
• Ability to work in a fast-paced team environment, multi-task, and prioritize accordingly to deliver on multiple projects while maintaining a service-oriented, customer–centric focus
• Strong written and verbal communication skills
• High level of accuracy and attention to detail required

Applicants in the U.S. must satisfy federal, state, and local legal requirements of the job.

To review a comprehensive list of benefits, please visit Michaels Benefits (MIKBenefits.com)

CA, CO, CT, WA, RI and select New York cities only - To review pay ranges for the position you are applying for, please visit Michaels Pay Ranges - CA, CO, CT, WA, RI, and select New York cities only. (MIKBenefits.com)

For nearly 50 years, Michaels has been the destination where Makers get inspired, learn, shop, and create. We strive to cultivate an inclusive shopping environment for all Makers and work environment for all Team Members, providing a place of belonging and empowering everyone to bring their creative dreams to life. At Michaels, every Team Member is encouraged to hone their craft with opportunities for personal and professional growth. From our Stores and Distribution Centers to Artistree and our Support Center, our best-in-class team is passionate about leaving the world a better, more creative place by contributing to every “make”.

Michaels is an Equal Opportunity Employer. We are here for all Team Members and all Makers to create, innovate and be better together.

Michaels is committed to the full inclusion of all qualified individuals. In keeping with this commitment, Michaels will assure that people with disabilities are provided reasonable accommodations. Accordingly, if a reasonable accommodation is required to fully participate in the job application or interview process, to perform the essential functions of the job, and/or to receive all other benefits and privileges of employment, please contact Customer Care at 1-800-642-4235 (1800-MICHAEL).

EEOC Know Your Rights Poster in English

EEOC Know Your Rights Poster in Spanish

EEOC Poster Optimized for Screen Readers

Federal FMLA Poster

Federal EPPAC Poster",
Staff Data Scientist,MongoDB,"  San Francisco, CA   ","The worldwide data management software market is massive (IDC forecasts it to be $136 billion by 2027!). At MongoDB we are transforming industries and empowering developers to build amazing apps that people use every day. We are the leading developer data platform and the first database provider to IPO in over 20 years. Join our team and be at the forefront of innovation and creativity.

Staff... Data Scientist - Generative AI

The Staff Data Scientist - Generative AI will play a critical role in driving impact at MongoDB through building and tuning models that integrate with critical business flows. As a GenAI specialist on the centralized Data Science team, this role will align with multiple product and engineering teams to provide subject matter expertise across the development and evaluation of customer-facing LLM-powered solutions.

This role will initially require direct alignment with product and engineering teams based in Australia and thus the candidate should have experience working and delivering technical solutions asynchronously and autonomously. Additionally, we are seeking candidates comfortable with ambiguity and experimenting with cutting edge LLM and traditional Data Science tools as the landscape continues to evolve. The application of this research directly into the product development lifecycle will be critical to the success of this role.

Note: we are looking for candidates expressly able to work during Pacific or Hawaiian-Aleutian (GMT-10) Time Zone business hours

Responsibilities
• Act as the conduit between MongoDB Data Science and the product and engineering teams building Generative AI solutions: communicate concrete product requirements, evaluate and fine-tune AI deliverables, integrate deliverables into an existing codebase
• Provide thought leadership to the engineering team on the best way of using emerging GenAI technologies, frameworks and approaches to solve different problems
• Collaborate closely with product managers and other engineers to understand business priorities, propose new solutions
• Share your knowledge by giving brown bags, tech talks, and evangelizing appropriate tech and engineering best practices
• Define and improve business & product metrics to optimize the quality and cost of AI usage
• Make the Data Science team more efficient: Research and implement new tooling/processes to help the team experiment and become productive with Generative AI/LLM technologies

Skills & attributes
• 6+ years of hands-on data science and machine learning model development
• Experience working directly with Generative AI applications, specifically integration of LLMs into production environments
• Experience working alongside product and engineering teams to deliver measurable value to the customer with predictive solutions
• Familiarity and comfort working in a large scale environments with unstructured or semi-structured data using SQL and Python (MQL plus)
• Clear understanding of the risks and trade-offs involved in choosing different models
• Demonstrated understanding of the entire data science development lifecycle, including experience delivering data science artifacts to production deployment environments
• Ability to seek empirical evidence through proofs of concept, statistical validation and external research
• Ability to translate efficacy measurements of data science models and products into tangible business impact metrics
• Effective at communicating technical concepts to non-technical audiences
• Committed to contributing to a collaborative, enjoyable, and psychologically safe work environment
• PhD or Masters degree in a quantitative/computational discipline (computer science, applied mathematics, statistics, physics, operations research, etc.)

To drive the personal growth and business impact of our employees, we’re committed to developing a supportive and enriching culture for everyone. From employee affinity groups, to fertility assistance and a generous parental leave policy, we value our employees’ wellbeing and want to support them along every step of their professional and personal journeys. Learn more about what it’s like to work at MongoDB, and help us make an impact on the world!

MongoDB is committed to providing any necessary accommodations for individuals with disabilities within our application and interview process. To request an accommodation due to a disability, please inform your recruiter.

MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type and makes all hiring decisions without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws",
"Senior Manager II, Data Science (Store No. 8)",Aquent,"  San Francisco, CA   ","Data Science Senior Manager
Hybrid remote ( candidates must be located in NY/NJ, Seattle, or San Francisco) * Generous relocation package offered
Candidates MUST HAVE the below skill-set/experience...

2+ years of experience leading and managing data science teams
Python/R/SQL
Machine learning models – Clustering, Regression, Classification
Data structures and algorithms
Personalization
Recommendation Systems / Recommender Systems

Experience in food and retail environment, ideally worked for a retailer / retail tech or food (tech) company highly preferred.
Our client is start-up with the backing of a fortune 100 company whose mission is to bring innovations to the physical, digital and virtual retail experience,
About the Role:
As a Senior Manager II, Data Science your focus will be leading a team of Data Scientists to finding trends in data sets and developing next-generation algorithms to leverage data for projects within our incubator. Reporting directly to the Director of Engineering, you will partner with the data engineering, product, software engineering and business teams. You will need to be a self-starter with a strong bias for action and excellent communication skills.
This is a rare opportunity, moving at the speed of a startup, with the backing and in house data (lots of data) of the Fortune 1 company. You will bridge the art of what’s possible across today’s rapidly evolving consumer & food landscape.
What You’ll Do:
Recruit, lead, and mentor a dynamic team of data scientists, fostering a culture of learning and innovation.
Utilize your understanding of both business requirements and machine learning architecture to shape our product roadmap, ensuring alignment with organizational goals.
Dive deep with team members, providing coaching and hands-on technical guidance in critical high-impact areas.
Collaborate closely with product, , app development, and data engineering teams to prioritize and bring your team’s work to life. Identify new opportunities, develop prototypes, and communicate staffing needs.
Communicate your team’s work effectively to senior leaders and the executive team on a regular basis.
Leverage cloud-based architectures and technologies to deliver optimized AI/ML models at scale.
Stay up to date with the latest state-of-the-art techniques in machine learning applications and models, fostering a culture of continuous learning within the organization.

What You’ll Need:
Master’s or PhD degree in STEM or relevant field; Professional experience in DS, ML, DL, or RL.
2+ years of experience leading and managing data science teams.
Extensive experience with machine learning and deep learning packages (scikit-learn, lightGBM, Tensorflow or PyTorch).
Experience writing complex SQL queries to surface insights from vast amounts of data.
Significant programing experience in Python, Spark etc.; Comfortable implementing algorithms from academic papers and building data pipelines.
Practical experience with cloud services (Google Cloud Platform etc.).
Familiarity with experimentation design or causal inferences",
Professor of Data Sciences and Operations (Open Rank) ...,Marshall School of Business,  California   ,"The Department of Data Sciences and Operations at the Marshall School of Business at the University of Southern California (USC) invites applications for open rank tenure-track faculty positions in Information Systems beginning Fall 2024. We seek candidates who show the potential to become world-class researchers and inspiring teachers. We are open to candidates in all areas of information... systems research and are particularly interested in quantitative or empirical researchers with teaching expertise in business analytics and AI/technical areas. Candidates should have a Ph.D. in Information Systems or a related discipline or be assured of its completion by Fall 2024. and should demonstrate a strong record and potential in research and teaching. We are particularly interested in candidates who have a record of publishing or demonstrated potential to publish in top-tier IS business journals such as MIS Quarterly, Information Systems Research, Journal of MIS, and Management Science or other top-tier business school publications in adjoining areas.

Interested candidates should apply through the online job portal. For full consideration, please ensure that all application materials are uploaded as soon as possible, but no later than October 1, 2023. Applications should include a cover letter; full curriculum vitae; a brief research statement; a brief teaching statement, and three reference letters. Applicants may optionally also submit a diversity statement describing how you would contribute to and promote the culture of diversity and inclusion at USC Marshall. Applicants attending the CIST, INFORMS, ICIS, WITS, and WISE should provide information about any talks they will be giving at those conferences in the cover letter. Our faculty may be attending talks by applicants. There is no formal interview process at those conferences.

The annual base salary range for this position is $157,049-$328,538. When extending an offer of employment, the University of Southern California considers factors such as (but not limited to) the scope and responsibilities of the position, the candidate’s work experience, education/training, key skills, internal peer equity, federal, state and local laws, contractual stipulations, grant funding, as well as external market and organizational considerations.

Information about the Data Sciences and Operations department, its faculty, and the Marshall School can be obtained at: http://www.marshall.usc.edu/dso.

The Department of Data Sciences and Operations is home to scholars working in operations management, statistics, and information systems.
• Our operations scholars develop data-driven models for efficient management of production and distribution processes and have developed approaches based on large-scale analytics and machine learning.
• Our statistics scholars comprise a group of leading experts in statistical learning and higher dimensional statistics.
• Our information systems scholars focus on digital transformation, innovation, and experimentation, including digital business strategy in dynamic environments, digital platform ecosystems, and the design of digital experiments and AI-driven digital systems and artifacts. Our information systems scholars utilize a wide range of theories and methods in Economics, Organization Science, and Strategy.

The Department of Data Sciences and Operations is the home of a top-ranked leading Masters of Business Analytics (MSBA) program, a top-ranked Global Supply Chain Management Masters (MSGSCM) program, and a joint undergraduate program in Artificial Intelligence in Business with the Viterbi School of Engineering.

Located near the heart of Los Angeles, the University of Southern California is home to approximately 49,000 students and 4,600 faculty members. USC Marshall is renowned for its high-ranking undergraduate, graduate, international, and executive education programs, exceptional faculty engaged in leading-edge research, a diverse, international, and creative student body, and a commitment to technological advancement. The research productivity of Marshall’s 200+ full-time faculty ranks among the top 10 business schools in the world, and we are a collaborative and inclusive group of scholars who often work together and our graduate students. In the US News 2024 Best Graduate School Rankings, USC Marshall’s Full-Time MBA programs ranked #15 for Best Business Programs, and the part-time MBA program was ranked #8.

USC is an equal opportunity, affirmative action employer, proudly pluralistic and firmly committed to providing equal opportunity for outstanding persons of every race, gender, creed, and background. USC is building a diverse faculty that embraces a range of disciplinary traditions. The University will consider all candidates for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, or any other characteristic protected by law or USC policy. USC will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in undue hardship. USC will consider for employment all qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring ordinance",
Data Scientist,SP Software Solutions,"  Santa Clara, CA   ","Position: Data Scientist

Location: Santa Clara, CA (on-site from Day 1...

Duration - Long Term Contract

Open for W2, 1099, C2C

Only Local Candidates needed

Fresh College Graduates Welcome

Responsibilities:
• Experience in handling image data using python libraries like OpenCV, scikit-image etc
• Deep understanding on common Machine Learning techniques related to Time series, Regression, Classification, Clustering, etc.(e.g. KNN, SVM, Random Forest, GBM, XGBoost, ARIMA, etc) and their applications
• Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, etc.
• Experience in Optical Character Recognition and Document Digitization problems preferred
• Working knowledge in deep learning with different NN architectures like CNN, RNN, LSTM, GANs Auto encoders, Transformers, YoLo etc.
• Should be able to adopt available models from open source domain and implement research papers based on use-case requirements
• Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment
• Nice to have understanding of big data related technologies and DevOps (Dockers, Singularity)

Essential Qualification
• BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Statistics or another quantitative field is preferred
• Preferred PHD in Data science/Statistics",
Senior Data Scientist,Intuit,"  Mountain View, CA   ","Intuit is looking for innovative and hands-on Senior Data Scientist to join the Intuit AI team.

This team embeds artificial intelligence and machine learning into our product portfolio and business to create smarter products, improve anti-fraud and security and enhance customer care. Come join our collaborative and creative group of data scientists and machine learning engineers and build models... that directly affect hundreds of thousands of our customers. In this role you will be building and deploying machine learning models using both analytical algorithms and deep learning approaches.
Responsibilities
• Perform hands-on data analysis and modeling with huge data sets
• Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms
• Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products
• Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL
• Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat
• Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders
• Explore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliver",
Senior Data Scientist - Modeling & Optimization,DISH,"  Foster City, CA   ","Department Summary

DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the... fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.

Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.

Opportunity is here. We are DISH.

Job Duties and Responsibilities

As a Senior Data Scientist - Modeling & Optimization, you will develop and improve predictive models and optimization solutions to help DISH save millions of dollars every month. You will work with a goldmine of terabytes of data generated by our millions of customers and devices. We build our solutions from the ground up and iterate rapidly. Your solutions will have a significant impact on our multibillion-dollar business. A model that you create today will save millions for the business tomorrow. Our team is full-stack so you will work on all aspects of data science solutions—from EDA to setting up data pipelines to selecting and training models and powering monitoring dashboards for internal and external use.

Key Responsibilities:
• Collaborate effectively with business stakeholders to identify opportunities to apply ML models for highest business impact and collectively generate and validate hypothesis
• Explore massive data sets to gain insights and create new hypothesis
• Develop ML models, assess quality & deploy them in production
• Scale and finetune solutions to cover all pockets of opportunity
• Find creative ways to apply existing ML approaches to new business problems
• Design and run A/B tests and assess results
• Monitor deployed models in production
• Mentor junior data scientists

Skills, Experience and Requirements

We are looking for a strong individual contributor responsible for the entire lifecycle of a project with demonstrated experience delivering measurable business impact, and expect:

Education: Strong academic background in statistics and machine learning – a Bachelor’s or Master’s degree in Math, Statistics, Computer Science, Physics or such quantitative fields or has done a program from a business school in marketing, analytics etc., with a focus on quantitative approaches

Experience: 4+ years of experience related to data and data analysis; you have worked on a variety of complex data analysis and modeling problems and applied these techniques to real-world scenarios

Skills and Qualification:
• Curiosity and a strong intuition for data
• Readiness to do efficient iterative end-to-end data science—from EDA to model definition, hypothesis creation, and testing
• The ability to write good, maintainable, and readable Python and SQL code
• Dashboarding or programmable visualization experience (Tableau, matplotlib, seaborn)
• Knowledge of stats and methodology of experiments
• Eagerness to help your teammates, share your knowledge, and learn from them
• Outstanding interpersonal skills

Preferred Skills:
• Working experience with AWS (S3, Athena, Redshift)
• Familiarity with DAGs and schedulers
• Familiarity with data platforms such as Databricks and Dataiku

Work Attire: Business Casual

Salary Range

Compensation: $119,000.00/Year - $145,000.00/Year
Compensation and Benefits

We also offer versatile health perks, including flexible spending accounts, HSA, a 401(k) Plan with company match, ESPP, career opportunities, and a flexible time away plan; all benefits can be viewed here: DISH Benefits.  

The base pay range shown is a guideline. Individual total compensation will vary based on factors such as qualifications, skill level, and competencies; compensation is based on the role's location and is subject to change based on work location. Candidates need to successfully complete a pre-employment screen, which may include a drug test and DMV check",
"Leader, Product Analytics & Data Science",Benchling,"  San Francisco, CA   ","ROLE OVERVIEW

The Leader of Product Analytics and Data Science will lead a dedicated and motivated team with a focus on our application user behavior insights. Reporting to the Head of Product Analytics and Data Science, you’ll partner with leadership to envision the future of scalable, deep insights both retrospective and predictive to support best-in-class decision making and success... evaluation for our product. You will be a team technical lead designing and developing analytical and data science solutions both with your direct reports as well as autonomously to model for everyone exceptional data science development lifecycles.

Someone successful in this role will have a passion for solving complex data and algorithmic puzzles as well as partnering in a highly collaborative team capacity to listen, learn, and evolve rapidly. You enjoy getting the full business picture and context across the entire organization and then distilling for your team what matters, and why, to help mold the future path. You always love to code and review others’ code to make those around you better. You have an arsenal of statistics, econometrics, bio stats, linear algebra, optimization algorithm knowledge in your back pocket, but seek to deliver right sized outputs to the business question at hand. You’re interested in sharing your full, authentic self and bringing out the best in others and motivating a learning and intellectually curious culture.

RESPONSIBILITIES
• Energized to work collaboratively with team members, partners and stakeholders across the business to apply, innovate, and deploy machine learning algorithms and data science methods for new measurement of product user behavior
• Design and lead technical delivery of analytical products consumed internally by the business including self-service analytics, ad-hoc analytics, internal algorithms, and self-service event instrumentation
• Partner with analysts, data scientists, internal data architect, product managers, software engineers, data platform engineers, and company leadership to align business strategy and needs with novel measurement strategies
• Foster a collaborative and empathetic culture on the Data Analytics and Science Team as well as around the broader Build Organization. Strive to teach, mentor, and develop a motivated and talented quantitative team as well as educate and up-lift a data culture throughout the broader Build Organization getting folks excited and aligned for the future of data science and analytics at the company

QUALIFICATIONS
• 5+ years hands on experience as data science or Analytics Manager or Tech Team Lead
• A passion for or curiosity to learn about accelerating biological life sciences through data-led technology
• Deep expertise in product application user behavioral data/clickstream data as well as experience with the infrastructure required to collect such data (e.g. segment, event taxonomies, amplitude, mixpanel, etc…). We have some interesting puzzles around connecting backend events with frontend experience that for which we want to address and build elegant, scalable eventing solutions to power advanced analytics!
• Experience with supervised and unsupervised segmentation models, A/B testing, linear and non-linear regression models, and causal inference
• Experience with end-to-end data and algorithm pipeline and DAG development as well as orchestration tools such as Snowflake, DBT, Git, Airflow, Data Science IDEs, and BI tools is a plus
• Communicates effectively through verbal, written, visual/slide medium
• Likely has Ms, PhD in statistics, mathematics, psychology, engineering, economics, or other quantitative field as well as 10+ years applied experience
• Preference to be Bay Area located for hybrid in-office team experience

SALARY RANGE

Benchling takes a market-based approach to pay. The candidate's starting pay will be determined based on job-related skills, experience, qualifications, interview performance, and work location. For this role the base salary range is $183,770 to $248,630.

Total Compensation includes the following:
• Competitive salary and equity
• 100% premiums covered for health, dental, and vision for employees
• Fertility healthcare and family-forming benefits
• Four months of fully paid parental leave
• 401(k) + Employer Match
• Commuter benefits
• Home office stipend
• Mental health benefits + Wellness stipend
• Learning and development stipend
• Generous PTO
• Company-wide Summer & Winter holiday shutdown
• Sabbaticals for 5-year and 10-year anniversaries

#LI-Hybrid

#BI-Hybrid

#LI-EN1",
